t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true,output_gap_filt,inflation_filt,interest_rate_filt,output_gap_filt_std,inflation_filt_std,interest_rate_filt_std,ess,resampled
99,0.068719,0.23806,0.149921,0.004549,0.107437,0.026133,0.08533956670664256,0.1454650454477709,0.08974443367362174,0.1078045213796666,0.0817724010406395,0.07324361499784499,2000.0,1
100,0.014623,-0.252562,-0.006566,-0.033097,-0.131883,-0.035255,0.00473501225116454,-0.0522433905551117,0.013317093217253568,0.10819289767149566,0.08515696307727291,0.06904317078234674,2000.0,1
101,0.458501,-0.447665,-0.236023,0.142947,-0.176443,-0.044645,0.04863896830536863,-0.1926224761374447,-0.14080576584955493,0.11715771586049936,0.08228896016867687,0.07553805214863954,2000.0,1
102,-0.117719,0.16591,0.001821,0.0958,-0.065614,-0.102008,0.0560064143011729,0.02759138530805351,-0.04936477533991525,0.10723192994157295,0.08167102154760407,0.06859076610907404,2000.0,1
103,0.041787,0.151529,-0.039782,0.052774,0.11303,0.014596,0.0489317923169499,0.060060548656427966,-0.011165531713580878,0.10900715068960794,0.08056245419633562,0.0705753362132394,1318.026112703215,0
104,0.447266,-0.016698,0.339146,0.220728,0.240474,0.198014,0.23939889910510537,0.1266663031864581,0.19820894302614953,0.10642577517860861,0.08544288663645251,0.0706683472760228,2000.0,1
105,0.625957,0.168978,0.403663,0.373049,0.276051,0.412446,0.3642648107830896,0.19340695852344889,0.36386766024044026,0.10889990511710845,0.08467859118389362,0.07152759437744663,2000.0,1
106,0.021734,0.352287,0.495027,0.306087,0.236506,0.474556,0.2606332557299673,0.24221092982419073,0.4740734764125238,0.10605693498163313,0.08190481879654907,0.07113940541607533,2000.0,1
107,0.311965,0.070802,0.667922,0.374437,0.112754,0.550027,0.2823611835136634,0.20193570992324567,0.5838683080476228,0.10673628923862406,0.08138736540247961,0.07107262897020894,2000.0,1
108,0.589552,0.192071,0.585841,0.317928,0.26888,0.67559,0.3464484723089583,0.19079447704526417,0.6173940352316093,0.11096725645263712,0.08260550637219778,0.06980994343917087,2000.0,1
109,0.569815,0.55811,0.630214,0.4682,0.347977,0.729499,0.4056982354074855,0.30585227371799495,0.704700222976514,0.10386305943791832,0.08418334860189965,0.07010605075008572,2000.0,1
110,0.453737,0.0241,0.711569,0.414684,0.181193,0.731218,0.3633700828763074,0.17582218222991122,0.7139764161834911,0.10376159031779733,0.08318665129210125,0.06953285149250661,2000.0,1
111,0.480802,0.191929,0.893439,0.524339,0.311652,0.810722,0.41046728192362275,0.2353742232535825,0.8201025318671944,0.10199647125903362,0.08289035982918622,0.06879327563577704,2000.0,1
112,0.293773,0.301972,0.6639,0.370533,0.270264,0.796988,0.31122708285396083,0.191775978043238,0.7556733877938596,0.1049734126525865,0.08259286419618131,0.07115162862894975,2000.0,1
113,0.32401,0.304811,0.704947,0.266366,0.246243,0.871751,0.2909219718901588,0.20753226874780695,0.7483738606365697,0.10491718921768883,0.08122169912914964,0.06975485049150502,1311.9297842464741,0
114,0.250131,0.058625,0.847199,0.300605,-0.015826,0.764827,0.2734376833591277,0.1746679656348231,0.778152700982459,0.10834137215819849,0.08104167227695486,0.0713920920726279,2000.0,1
115,0.269232,0.253486,0.746324,0.277748,0.1168,0.806622,0.2581871442723312,0.18918422075626165,0.7623587377596974,0.10664207925531638,0.0823821519953098,0.07094239135528747,1345.5785830033024,0
116,0.059369,0.042172,0.650542,0.04365,0.012385,0.689765,0.1582565856528586,0.09448137106003417,0.6652446231036944,0.10571408527488803,0.0822307723721023,0.07085551568283381,2000.0,1
117,-0.254489,0.191532,0.419836,-0.118875,0.118125,0.605517,-0.011779250615088091,0.051354382401189044,0.4957388328371275,0.10876055947122788,0.0768599865354927,0.07408679863930559,2000.0,1
118,0.084097,-0.043612,0.450373,-0.022329,-0.004731,0.518271,0.02254920429513409,0.01637922771019431,0.42437022497769944,0.10836114610891405,0.08193900164627828,0.07325393389180898,1290.625652305746,0
119,0.6696,0.056353,0.466404,0.086751,0.046948,0.467161,0.23316175318186075,0.08304455947754077,0.4460293540679587,0.10599268190404441,0.07769298590488634,0.07318601811456589,2000.0,1
120,-0.250287,-0.015197,0.464748,0.10511,-0.031328,0.371711,0.06875704489742811,0.049863156194805865,0.4120919810887689,0.10522594429279156,0.08551034789868919,0.07325502659103235,2000.0,1
121,0.14415,0.078744,0.309346,0.079347,0.04648,0.386469,0.07676810966716717,0.04321981157233582,0.34562007881455914,0.10529573606232054,0.08166512966255975,0.07139112198929853,1333.4187860237791,0
122,-0.186479,0.116288,0.542301,-0.034441,0.000407,0.376563,0.05764924634502312,0.11830425538986915,0.422610012370977,0.10845736097507637,0.08125487246049229,0.07169972207383109,2000.0,1
123,0.010125,-0.030357,0.165025,-0.105356,-0.113629,0.23348,-0.02394846109956947,-0.014994536448115256,0.25940178376126305,0.10664479913003742,0.08164001812950625,0.0733399667968059,2000.0,1
124,-0.00107,-0.052154,0.153454,-0.010382,-0.058786,0.221763,-0.031771823189162815,-0.03445696494774406,0.17121548230811529,0.10728154773290154,0.08302386015739392,0.07117942651865383,1391.1455457419315,0
125,0.228707,-0.043679,0.412964,0.076336,0.07769,0.259228,0.11870989201636561,0.05602845624697705,0.2790132744140979,0.10664989394108486,0.07930154784746175,0.06870791556406207,2000.0,1
126,0.536569,0.11892,0.24303,0.301467,0.108769,0.221884,0.22020484705814847,0.08632668785285864,0.2982318758666878,0.1036469418074918,0.07830514580686974,0.06901626522028892,2000.0,1
127,0.47023,0.133936,0.283117,0.431746,0.138138,0.33832,0.2672118267548079,0.10526020078704548,0.3275325752838701,0.10909081927875326,0.08189447001243629,0.06977934150797997,1069.574818846624,0
128,0.745937,0.093678,0.328816,0.519527,0.064701,0.344329,0.38595253984246447,0.12065297329407854,0.38790884798830827,0.11888125955779318,0.0843114832764199,0.06986081480464994,2000.0,1
129,-0.161413,0.37615,0.516827,0.307446,0.045171,0.38152,0.22664975538719204,0.2215778760996375,0.48209776371835966,0.10508585459704456,0.08068294967217049,0.0731313616116717,2000.0,1
130,0.647211,0.070383,0.521496,0.32912,0.148949,0.374876,0.32405542802548315,0.1556658740203225,0.5297793270193619,0.10679477946103443,0.08238499113108215,0.07255558491519865,2000.0,1
131,0.14021,0.162813,0.257407,0.065198,0.099469,0.339086,0.18196260365273792,0.06897938770013985,0.40275318323797843,0.10848744494724877,0.0777440892496941,0.06842604476553975,2000.0,1
132,0.320185,0.311584,0.370519,0.104617,0.151315,0.374762,0.21749161297623182,0.14693467638072888,0.4205001566913998,0.10524859482811087,0.08327742294214288,0.0704867862766236,2000.0,1
133,-0.073807,0.164329,0.444177,0.170168,0.149629,0.435161,0.119883737126027,0.12850945082058973,0.42933190227109647,0.1062186573355814,0.08103259506970474,0.07167336663898323,1108.9079627588649,0
134,-0.08347,0.432335,0.31671,0.082684,0.081659,0.415334,0.06189289215981757,0.16572564882042715,0.3963735999763929,0.10038575509489985,0.08695219010790337,0.07328738416197478,2000.0,1
